Well_Id_org	Well_Id	Induction	Rel_Cell_Count	Conc_uM
247300:01:15_01.00	Cycloheximide  1µM	46.6	73	1.0
411099:01:05_01.00	 LDN193189  1µM	51.6	79	1.0
344315:01:04_10.00	     Cpd 3 10µM	34.9	83	10.0
