Well_Id_org	Well_Id	Induction	Rel_Cell_Count	Conc_uM
394207:01:09_03.00	HTH-01-015  3µM	62.2	68	3.0
394207:01:08_10.00	HTH-01-015 10µM	74.4	70	10.0
